epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,499.094,0.53769,0.41959,0.91014,0.95224,0.99711,0.9569,0.85767,0.58736,0.42701,0.93283,0.0011354,0.0011354,0.0011354
133,502.729,0.53052,0.41295,0.89995,0.95226,0.99738,0.98548,0.87762,0.57838,0.42734,0.92818,0.0011288,0.0011288,0.0011288
134,506.334,0.53669,0.4033,0.907,0.95225,0.99718,0.98786,0.86493,0.59237,0.42421,0.92427,0.0011222,0.0011222,0.0011222
135,509.951,0.54266,0.3983,0.87578,0.95226,0.99737,0.99024,0.8488,0.61898,0.43043,0.93161,0.0011156,0.0011156,0.0011156
136,513.73,0.52287,0.39754,0.86921,0.95225,0.99735,0.99262,0.84835,0.61451,0.4434,0.94018,0.001109,0.001109,0.001109
137,517.317,0.49932,0.40257,0.87856,0.95224,0.99702,0.99262,0.84859,0.59083,0.44613,0.93627,0.0011024,0.0011024,0.0011024
138,521.018,0.54495,0.43177,0.88977,0.94873,0.95,0.98667,0.85854,0.59545,0.44361,0.94352,0.0010958,0.0010958,0.0010958
139,524.72,0.56593,0.40705,0.9151,0.97226,0.95,0.99045,0.84549,0.6358,0.42959,0.96139,0.0010892,0.0010892,0.0010892
140,528.431,0.5235,0.40535,0.87302,0.95088,1,0.99262,0.87161,0.60012,0.36312,0.94682,0.0010826,0.0010826,0.0010826
141,531.954,0.60068,0.45133,0.90764,0.95105,1,0.99262,0.89096,0.56059,0.36294,0.93198,0.001076,0.001076,0.001076
142,535.647,0.55748,0.39076,0.86558,0.95229,0.99805,0.99262,0.878,0.568,0.38435,0.9397,0.0010694,0.0010694,0.0010694
143,539.213,0.52819,0.42709,0.88132,0.9523,0.99825,0.99262,0.87065,0.58701,0.3851,0.95066,0.0010628,0.0010628,0.0010628
144,543.015,0.53693,0.41465,0.89059,0.95,1,0.99262,0.83826,0.69129,0.40176,0.98167,0.0010562,0.0010562,0.0010562
145,546.689,0.49886,0.36605,0.88391,0.94916,1,0.99262,0.82328,0.68085,0.39341,0.96949,0.0010496,0.0010496,0.0010496
146,550.46,0.5361,0.36956,0.87023,1,0.99546,0.995,0.83256,0.63629,0.37662,0.95422,0.001043,0.001043,0.001043
147,554.781,0.49648,0.37772,0.88053,0.99627,1,0.995,0.8416,0.59765,0.38089,0.9427,0.0010364,0.0010364,0.0010364
148,558.557,0.56278,0.38848,0.90287,0.9963,1,0.995,0.84182,0.60737,0.34715,0.95966,0.0010298,0.0010298,0.0010298
149,562.091,0.53185,0.40476,0.87929,0.99639,1,0.995,0.86067,0.61561,0.34397,0.95885,0.0010232,0.0010232,0.0010232
150,565.654,0.52866,0.42393,0.88987,0.99712,1,0.995,0.85505,0.60504,0.3374,0.94184,0.0010166,0.0010166,0.0010166
151,569.279,0.51583,0.38531,0.87351,0.99582,1,0.995,0.86072,0.58827,0.32702,0.92819,0.00101,0.00101,0.00101
152,573.053,0.46549,0.37688,0.88096,0.99479,1,0.995,0.88187,0.55308,0.3068,0.92102,0.0010034,0.0010034,0.0010034
153,576.736,0.54552,0.39653,0.87988,0.99549,1,0.995,0.88413,0.57624,0.31044,0.93509,0.0009968,0.0009968,0.0009968
154,580.37,0.52591,0.37395,0.86815,0.99574,1,0.995,0.88844,0.60601,0.32157,0.95063,0.0009902,0.0009902,0.0009902
155,584.004,0.46715,0.36627,0.85258,0.99549,1,0.995,0.887,0.62304,0.33133,0.96201,0.0009836,0.0009836,0.0009836
156,587.709,0.49354,0.36308,0.87107,1,0.99966,0.995,0.85403,0.62968,0.34278,0.95842,0.000977,0.000977,0.000977
157,591.317,0.57085,0.39366,0.90739,0.94976,1,0.99262,0.86975,0.63685,0.36096,0.96252,0.0009704,0.0009704,0.0009704
158,594.968,0.51371,0.36368,0.88698,0.95212,0.9946,0.99262,0.86643,0.62837,0.39344,0.96765,0.0009638,0.0009638,0.0009638
159,598.551,0.55381,0.41111,0.90354,0.9523,0.99838,0.99262,0.8635,0.61949,0.39741,0.96865,0.0009572,0.0009572,0.0009572
160,602.244,0.51536,0.37506,0.8845,1,0.98694,0.995,0.89126,0.60582,0.36866,0.95783,0.0009506,0.0009506,0.0009506
161,605.85,0.50941,0.35951,0.8725,1,0.99062,0.995,0.88572,0.60907,0.36575,0.9539,0.000944,0.000944,0.000944
162,609.529,0.51909,0.37522,0.88603,1,0.98799,0.995,0.8798,0.62901,0.38355,0.95626,0.0009374,0.0009374,0.0009374
163,613.097,0.50074,0.38467,0.9017,0.94967,1,0.99262,0.86249,0.654,0.39177,0.95916,0.0009308,0.0009308,0.0009308
164,616.882,0.54603,0.38166,0.90395,0.95093,1,0.99262,0.87963,0.62582,0.40391,0.94777,0.0009242,0.0009242,0.0009242
165,620.513,0.46633,0.35892,0.86709,0.95236,0.99953,0.99024,0.86307,0.60303,0.41116,0.93517,0.0009176,0.0009176,0.0009176
166,624.169,0.50424,0.36558,0.86453,0.95229,0.99814,0.99024,0.88383,0.5725,0.40999,0.9223,0.000911,0.000911,0.000911
